PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
zzDXu,4rqk1/pp1n1p1p/2p3p1/8/2PPb2Q/7P/P4PP1/2RR2K1 b - - 6 22,f8e7 h4e7 e8e7 f2f3 e4f5 g2g4 f5e6 d4d5 d7c5 d5e6,2556,85,82,114,advantage middlegame trappedPiece veryLong,https://lichess.org/sUChg8cq/black#44,
zzDdH,6r1/ppp3rk/3p2q1/1P2p2p/P1P1Pp1b/3P1P1P/4B2R/R3Q2K w - - 0 33,e1h4 g6g1 a1g1 g7g1,966,153,50,29,kingsideAttack mate mateIn2 middlegame sacrifice short,https://lichess.org/8XmRpVLX#65,
zzDfm,r7/2q1p1k1/1n1p1bp1/2pP4/2P5/3QR3/5PP1/3R2K1 b - - 1 27,a8a4 e3g3 g6g5 g3h3,1862,75,92,283,advantage defensiveMove middlegame short,https://lichess.org/jKokxosC/black#54,
zzDn9,r4rk1/1p4pp/2p1p1q1/p2nPpn1/P7/2B1PP2/1P4PP/R1RBQ1K1 w - - 1 24,d1c2 g5f3 g1h1 f3e1,1059,75,97,1156,crushing kingsideAttack middlegame pin short,https://lichess.org/36Ix9z2O#47,
zzDnC,r1b2rk1/ppNp1pp1/7p/2b5/4P3/4qP2/P1P1B1PP/R2Q1K1R w - - 3 14,c7a8 e3f2,759,82,88,95,mate mateIn1 middlegame oneMove,https://lichess.org/5KyaVB5B#27,Scotch_Game Scotch_Game_Classical_Variation
zzDoX,5b2/8/pq5k/4p1pp/4P3/3Q2P1/6K1/3R4 w - - 8 49,d1a1 b6b2 g2f1 b2a1,978,76,87,240,crushing endgame fork short,https://lichess.org/t8KKYUwS#97,
zzDrb,8/4R2P/1kp5/1p2PB2/3b4/6P1/2r2PK1/3r4 w - - 3 40,h7h8q c2f2 g2h3 d1h1 h3g4 h1h8,1072,76,73,101,endgame,https://lichess.org/Pv9IiT2M#79,
zzDyj,5r1k/6p1/6q1/8/5r1p/P6P/1PPQ1PPK/3R1R2 w - - 15 40,g2g3 h4g3 f2g3 f4f1 d1f1 f8f1,1340,74,100,305,crushing endgame long,https://lichess.org/rF6QLPm0#79,
zzDyp,r1b4k/1ppnqrp1/6P1/p1P1p3/P2P4/2P3p1/4PP2/R1B1K2Q b Q - 1 19,h8g8 h1h7 g8f8 h7h8,862,79,95,5151,kingsideAttack master mate mateIn2 middlegame short superGM,https://lichess.org/3oNaTjZX/black#38,Hungarian_Opening Hungarian_Opening_Other_variations
zzE0P,3r3k/p4pp1/Ppp1p2p/2p1P2P/3rR2Q/1P1P4/q1P1RPP1/6K1 b - - 2 29,d4e4 h4d8 h8h7 e2e4,1300,77,90,401,advantage endgame hangingPiece intermezzo master short,https://lichess.org/FZD7Dbki/black#58,
zzE2m,4r3/np3p2/5pkN/pPb5/P1P1rP1R/8/6PP/1R3K2 b - - 0 33,e4c4 f4f5 g6g7 h4c4,1479,85,85,32,crushing discoveredAttack middlegame short,https://lichess.org/glEK8pOP/black#66,
zzEEO,3r4/1k1q4/2p5/5p2/3P1Qp1/8/7P/1R4K1 b - - 1 34,b7c8 b1b8,516,90,50,56,endgame mate mateIn1 oneMove,https://lichess.org/cHFzpmjH/black#68,
zzEHs,3r2k1/p1R2ppp/1p6/8/1P1P2Q1/P3q1P1/1B1n3P/5BK1 w - - 0 33,g1h1 d2f3 h1g2 e3g1 g2f3 g1f1,2159,79,81,118,advantage deflection long middlegame,https://lichess.org/zpMTkyla#65,
zzEL8,rnb1k2r/pp2n3/1bpp4/2PPpq2/1P2N1p1/P3K1P1/1B2B1NP/R2Q3R b kq - 0 22,e7d5 d1d5 c6d5 e4d6 e8d8 d6f5,1455,76,88,128,advantage exposedKing fork long middlegame sacrifice,https://lichess.org/UOPJCpsu/black#44,
