PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
zzcA6,r1b3k1/pp3p1p/3p2p1/2nP2r1/P1pQP3/4R2P/1PB1NPPq/R4K2 w - - 8 21,e2g3 g5g3 f2g3 h2h1 f1f2 h1a1 e3e1 a1a2,1715,75,95,9034,crushing master masterVsMaster middlegame sacrifice skewer veryLong,https://lichess.org/HhvJMbWW#41,
zzcDG,5k2/4pp2/3r4/1Q6/1p2P3/pPb3P1/P1Pr4/1K5R w - - 3 34,b5b8 d6d8 b8f4 d2d1 h1d1 d8d1,1034,79,72,463,crushing endgame long,https://lichess.org/gaqC8a4c#67,
zzcFD,4r2r/pp3kpp/5p2/2bp3P/8/2B5/PPPK1PP1/5R1R w - - 0 22,f2f3 d5d4 c3d4 c5d4,1875,75,95,4865,crushing endgame master short,https://lichess.org/vHi861H3#43,
zzcVF,8/2n4p/p1k3p1/2P1P1P1/P1K2P2/4B3/8/8 w - - 1 42,c4b4 c7d5 b4a5 d5e3 a5a6 e3d5 a6a7 d5f4,2426,77,63,95,crushing endgame fork veryLong,https://lichess.org/Xru4niKL#83,
zzcVg,r1b2rk1/pp1n3p/2p1R1pq/8/N1PQ4/1P3B2/PB3P1P/6K1 b - - 0 21,f8f3 d4h8 g8f7 h8e8,1680,75,93,430,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/EGQ3Ehtc/black#42,
zzcZu,4r1k1/4qppp/p5r1/1p1Q4/8/2P3B1/PP4PP/5R1K b - - 0 26,e7e2 d5f7 g8h8 f7f8 e8f8 f1f8,1114,75,97,6889,backRankMate endgame long mate mateIn3 sacrifice,https://lichess.org/s2oXuHz7/black#52,
zzcaU,6k1/5R2/3q4/6p1/P2Np3/1P2P2b/5R2/6K1 w - - 0 44,f7f5 d6g3 g1h1 h3f5,1681,105,0,18,crushing endgame short,https://lichess.org/iBSDIeV7#87,
zzccX,2rqk2r/1p3bpp/pP3p2/N1nnpN2/2Qp4/6PP/P2P1PB1/R4RK1 b k - 5 21,e8g8 g2d5 f7d5 c4d5 d8d5 f5e7 g8f7 e7d5,1782,105,60,21,advantage attraction fork master middlegame sacrifice veryLong,https://lichess.org/fyvTa02e/black#42,
zzccg,3r4/pp3pkp/2q1p3/5p2/1PPr1P2/5NP1/PQ1R2KP/8 b - - 6 37,c6e4 d2d4 d8d4 b2d4 e4d4 f3d4,860,77,100,126,crushing endgame long master,https://lichess.org/QQl8R3Ap/black#74,
zzcec,r4rk1/1b3ppp/p7/1p1Pp1q1/8/1P6/P1B2PPP/R2QR1K1 w - - 0 23,d5d6 g5g2,651,83,79,110,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/dIrVNqYG#45,
zzcjO,2b2rk1/5pp1/p6p/4Q3/6q1/6B1/PP3PPP/2R3K1 w - - 1 24,c1c7 g4d1 e5e1 d1e1,434,90,97,436,endgame mate mateIn2 short,https://lichess.org/iuNCOxcC#47,
zzcjx,4rb1r/pp4pk/5p2/6p1/6q1/1QP1BR2/PP2KP2/4R3 b - - 2 26,f8c5 e1h1 h7g6 h1h8 e8h8 e3c5 h8e8 c5e3,2322,80,84,367,advantage deflection middlegame veryLong,https://lichess.org/PP4gbhRm/black#52,
zzckc,4q1k1/1pR5/3p2rb/5Q2/4P3/P2P4/5P1P/5K2 b - - 12 34,h6g7 c7c8 e8c8 f5c8,1528,76,82,60,crushing endgame pin short,https://lichess.org/2O3bREVh/black#68,
zzcmo,1k1r2r1/p1pq2pp/1pn1b3/P4p2/2P2B2/3P3P/2P2QP1/RR4K1 b - - 0 21,c6a5 a1a5 d7d4 f4e3,2227,80,71,158,advantage middlegame pin short,https://lichess.org/Wfztds9R/black#42,
zzcms,3r1rk1/ppq2p1p/6p1/3NP3/2n3Q1/6R1/PPP3PP/3R3K b - - 0 21,c7e5 g4c4 f8e8 h1g1,2685,87,92,1554,crushing defensiveMove hangingPiece middlegame short,https://lichess.org/UB4tRFX7/black#42,
zzcmt,2krr3/ppp2ppp/5n1q/1N6/1PP5/P6b/1Q2BPP1/R2R2K1 b - - 0 17,h3g4 d1d8 c8d8 e2g4 f6g4 b2d4 d8c8 d4g4,2362,79,92,3535,advantage fork middlegame veryLong,https://lichess.org/ajgRgmsg/black#34,Scandinavian_Defense Scandinavian_Defense_Icelandic-Palme_Gambit
zzcpx,r6k/1p1R2pp/p3Q1n1/2q5/8/4N3/PPP3PP/6K1 w - - 1 24,c2c3 g6f8 e6e7 f8d7 e7c5 d7c5,1924,75,86,195,crushing endgame fork long,https://lichess.org/neshdv8j#47,
zzcts,r1bq1rk1/ppp1p3/6pp/4bp2/2PPN2P/8/PP1QBPP1/2KR3R w - - 0 15,d2h6 e5g7 h6e3 f5e4,2081,76,91,3063,advantage middlegame short,https://lichess.org/H2p4zCpP#29,Kings_Indian_Defense Kings_Indian_Defense_Normal_Variation
zzcuM,1r4k1/5ppp/1Pp1p3/3p4/R7/5P2/1PP3PP/6K1 b - - 0 26,b8b6 a4a8 b6b8 a8b8,818,96,41,31,backRankMate endgame mate mateIn2 rookEndgame short,https://lichess.org/zLYzJCZo/black#52,
zzcyp,8/8/3kp3/3p1p1p/3K1P1P/4P1PB/8/3b4 b - - 12 61,d1g4 h3g4 f5g4 e3e4 d5e4 d4e4,1164,75,96,1941,bishopEndgame crushing endgame long,https://lichess.org/gIcFqPfc/black#122,
zzd65,8/p7/1b6/1P4kp/2b5/7P/1R5K/8 b - - 12 60,g5h4 b2b4 b6c7 h2g2,1073,85,81,112,crushing defensiveMove endgame pin short,https://lichess.org/EIE3jbCf/black#120,
zzd8S,7k/8/2B4p/1p3pp1/b7/4P1PP/3K1P2/8 w - - 0 47,d2c3 b5b4 c3b4 a4c6,919,81,89,311,bishopEndgame crushing discoveredAttack endgame short,https://lichess.org/1wdAlaeB#93,
zzdJr,8/5R1p/1kr5/8/1pr2P2/1R3K2/7P/8 w - - 3 48,f7h7 c4c3 b3c3 b4c3 h7g7 c3c2,1389,75,100,509,advancedPawn crushing endgame long rookEndgame,https://lichess.org/utVuauNG#95,
zzdLg,6k1/p4p1p/1p2p2Q/3p3N/2r1q3/6PK/PP3P1P/8 b - - 5 32,e4g6 h5f6 g6f6 h6f6,1411,101,85,56,crushing endgame short xRayAttack,https://lichess.org/2rgt1IAC/black#64,
zzdLi,r1bq1b1r/pppp1kpp/2n5/3nP3/3P4/5Q2/PPP3PP/RNB1K1NR b KQ - 2 8,f7g8 f3d5,951,101,71,49,hangingPiece mate mateIn1 oneMove opening,https://lichess.org/1sNPrHxP/black#16,Bishops_Opening Bishops_Opening_Other_variations
zzdR4,5r1k/pp5B/1b3pQ1/3p4/2r3bP/5Nq1/PP4P1/R4R1K b - - 4 30,b6c7 g6h6 c7f4 h6f8,2097,84,100,54,crushing kingsideAttack middlegame short,https://lichess.org/9OnyLucA/black#60,
zzdRD,r1b1k1nr/pp2Ppb1/6p1/6Bp/qn5P/2PB1N2/3Q1PP1/1K1R3R b kq - 0 17,c8e6 d3b5 a4b5 d2d8 a8d8 e7d8q,1594,77,87,2259,advancedPawn clearance long mate mateIn3 middlegame promotion sacrifice,https://lichess.org/Q4aCpzax/black#34,Indian_Defense Indian_Defense_Other_variations
zzdVM,3r1r2/1p1k1p1p/2q1p1p1/p2bP3/P7/R1N5/1P1R1QPP/6K1 w - - 0 27,c3d5 c6c1 f2f1 c1d2 f1b5 d7c8 d5e7 c8b8,2062,79,87,281,advantage deflection middlegame veryLong,https://lichess.org/JLbaluym#53,
zzdcb,r3r1k1/1p4p1/3bb2p/p2Pqp2/8/PB1Q3P/1P3PP1/R4RK1 w - - 0 21,d5e6 e5h2,792,96,94,342,mate mateIn1 middlegame oneMove,https://lichess.org/E2qtgt0F#41,
zzdeP,1r3k1r/p4pp1/2p1p3/3pP3/2p2PQ1/2N1q3/P2R1RP1/6K1 w - - 3 24,g4f3 e3e1 f2f1 e1d2,1182,84,96,5007,crushing deflection middlegame short,https://lichess.org/fYD5dHRW#47,
zzdft,1rb1k2r/p3Ppb1/5npp/1q6/3P1Q1P/1PN2P2/P1P3P1/2KR3R b k - 2 17,f6d5 c3d5 b5d5 f4b8,1563,75,85,188,advantage middlegame pin short,https://lichess.org/UIjwh1mI/black#34,Indian_Defense Indian_Defense_Other_variations
zzdgX,r4rk1/2q2ppB/p7/1pb3P1/3n1PN1/3R3P/PPP4K/R2Q4 b - - 0 24,g8h7 g4f6 g7f6 d1h5 h7g8 g5f6 c7f4 d3g3 f4g3 h2g3,1685,82,74,83,advantage clearance intermezzo middlegame sacrifice veryLong,https://lichess.org/8Ys4N1gK/black#48,
zzdhH,8/5pk1/8/1p6/8/Q4NbP/P1q3P1/5K2 w - - 11 51,a3b3 c2f2,1091,75,97,2350,endgame mate mateIn1 oneMove,https://lichess.org/SLqQWiVB#101,
zzdj7,r5k1/p1p1P2p/1qp1P1p1/2npB3/6Q1/1P6/P1P3PP/3R3K w - - 1 27,g4g5 c5e4 g5h4 e4f2,1559,84,87,50,advantage endgame short,https://lichess.org/TpyLiAGh#53,
zzdk7,6k1/5pp1/p1N1p3/1b1pP2p/3P4/4P1q1/1PQ3B1/6K1 w - - 2 42,c2f2 g3f2 g1f2 b5c6,1047,77,85,352,crushing endgame short,https://lichess.org/CSUCaH7R#83,
zzdoi,r1bqkb1r/ppp2ppp/4pn2/6B1/2QnN3/8/PP2PPPP/R3KBNR b KQkq - 1 7,f6e4 g5d8 f8b4 e1d1,1825,74,92,1837,advantage defensiveMove opening short,https://lichess.org/Z9ga0zeY/black#14,Queens_Gambit_Declined Queens_Gambit_Declined_Normal_Defense
zzdr3,r2qkb1r/pp2pppp/2p5/3Pn3/Qn2P3/5B2/PP3PPP/RNB1K2R w KQkq - 0 10,a4b4 e5d3 e1f1 d3b4,879,80,96,3460,crushing fork opening short,https://lichess.org/kRChBgCn#19,Queens_Gambit_Declined Queens_Gambit_Declined_Marshall_Defense
zze9h,3r2k1/p4ppp/1ppN4/3br1q1/3p4/7P/PPP1Q1P1/R3R1K1 w - - 0 24,e2e5 g5g2,849,80,89,211,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/2B0A6183#47,
zze9s,5rk1/1p4pp/p7/3b4/3p1P2/7q/PPQ1R1PP/3N3K w - - 0 28,d1f2 h3g2,908,77,68,59,endgame mate mateIn1 oneMove,https://lichess.org/GUxmqpoT#55,
zzeAZ,r4k2/p3n2Q/qp2p3/6P1/3P4/2P1Pp2/2RK4/7R w - - 2 35,h1f1 a6e2 d2c1 e2f1,1382,76,86,1683,crushing endgame fork short,https://lichess.org/F3BMkOLB#69,
zzeDg,5rk1/p4p1p/1p1P2p1/4Q3/7P/3q2P1/P1p3B1/2R4K w - - 0 34,g2e4 d3d1 c1d1 c2d1q,1254,83,56,55,advancedPawn crushing endgame master promotion short,https://lichess.org/3HMvAplk#67,
zzeE0,4rrk1/ppp4p/3p2p1/5bN1/2PPq3/P1P5/1K1QP1B1/7R b - - 5 24,e4c2 d2c2 f5c2 g2d5 g8g7 b2c2,1913,86,67,38,advantage intermezzo long middlegame,https://lichess.org/pgRkdZ5I/black#48,
zzeEm,2r3k1/np3pp1/1q2p1bp/pP1pP3/P1rP2PP/2R2N2/3B1P2/R3Q1K1 b - - 0 23,g6e4 c3c4 c8c4 d2a5 b6b5 a4b5,1812,80,73,42,crushing discoveredAttack long middlegame trappedPiece,https://lichess.org/UFuoUABF/black#46,
zzeGD,rn2k2r/pp3ppp/2p5/q2p2B1/1b1Pn1b1/3BPN2/PP1N1PPP/R2Q1RK1 w kq - 7 10,d2e4 d5e4 d3e4 g4f3 e4f3 a5g5 d1b3 g5e7,2312,78,86,165,advantage capturingDefender middlegame veryLong,https://lichess.org/Wx9UAlZD#19,English_Opening English_Opening_Agincourt_Defense
zzeJh,1r1qr1k1/p1p2p1p/3bb1pB/8/1n2B3/5Q2/PP3PPP/RN2R1K1 w - - 6 16,b1c3 d8h4 g2g3 h4h6,1871,74,82,188,advantage middlegame short,https://lichess.org/VzOtSV2b#31,Scotch_Game Scotch_Game_Schmidt_Variation
zzeOH,r4r1k/p1p3pp/1p2P3/2b5/4q3/1Q6/PB4PP/3R1R1K b - - 0 27,e4e2 b2g7 h8g7 d1d7 g7h6 b3h3 e2h5 d7h7 h6h7 h3h5,2325,79,78,94,attraction crushing deflection middlegame sacrifice veryLong,https://lichess.org/CuKOkxrL/black#54,
zzeXd,r6r/ppqk4/2pbpQ1p/8/3P1N2/2P5/PP4P1/4R2K b - - 2 22,d6f4 f6e6 d7d8 e6f6 d8c8 f6h8 c7d8 e1e8,1574,74,96,12441,crushing endgame fork pin veryLong,https://lichess.org/WX68vKJH/black#44,
zzeak,8/8/1pp3pp/2k2p2/2P2P1P/P2K2P1/8/8 w - - 0 40,a3a4 c5b4 g3g4 h6h5 g4h5 g6h5 d3d4 b4a4 d4e5 b6b5 c4b5 c6b5 e5f5 b5b4 f5g5 b4b3 f4f5 b3b2 f5f6 b2b1q,2764,92,92,3479,advancedPawn crushing endgame pawnEndgame promotion quietMove veryLong,https://lichess.org/yA2okYKO#79,
zzee5,5k2/5pp1/4p2p/4P2P/2K2PP1/8/8/8 b - - 0 34,f8e8 g4g5 e8d8 c4b5 d8d7 b5b6,2894,101,90,465,crushing defensiveMove endgame long pawnEndgame,https://lichess.org/Xj3S3NQL/black#68,
zzelI,1r6/5P2/p3K3/1k3N1p/8/4P3/8/8 b - - 1 55,a6a5 f5d6 b5a4 d6e8,1807,76,91,2752,crushing defensiveMove endgame short,https://lichess.org/u60r0peN/black#110,
zzemV,2kr1b1r/ppp2ppp/2n2n2/3qpb2/2P5/3P1N1P/PPQN1PP1/R1B1KB1R b KQ - 0 9,f5d3 c4d5 d3c2 d5c6,1649,74,92,2156,advantage opening short,https://lichess.org/M8kQajVB/black#18,Ponziani_Opening Ponziani_Opening_Jaenisch_Counterattack
zzepD,r1b3k1/ppp4r/4qp1p/4bRpQ/4P1P1/BP5B/P2N4/1R1K4 w - - 2 25,d1e2 e6a6 d2c4 c8e6 h3f1 e6c4,2638,99,78,169,clearance crushing fork long middlegame,https://lichess.org/0PXp124k#49,
zzerm,4k3/8/8/1pNp4/pK1P2pp/4P3/P4PP1/8 w - - 0 38,b4b5 h4h3 g2h3 g4h3,1204,77,80,412,crushing endgame knightEndgame short,https://lichess.org/SdMs9HG8#75,
zzeu7,3r2k1/ppp2pp1/4bb2/8/4Q3/P1P5/1qP2PPP/1R4K1 w - - 2 24,b1b2 d8d1 e4e1 d1e1,634,98,60,105,backRankMate endgame mate mateIn2 short,https://lichess.org/2s5qFfUb#47,
zzf0W,6k1/5ppp/3rp3/1p1p4/1PbP4/1r2P2P/RR2NPPK/8 b - - 0 34,b3b2 a2a8 d6d8 a8d8,988,76,97,234,backRankMate endgame mate mateIn2 short,https://lichess.org/PEB319ag/black#68,
zzf14,r1bq1rk1/6p1/p3pn1p/1p1pP3/3N4/2PB4/PP4PP/R2QK2R b KQ - 0 18,f6d7 d4e6 d8h4 g2g3 h4e7 e6f8,1179,76,93,939,crushing fork long middlegame,https://lichess.org/s6QG6KzS/black#36,Horwitz_Defense Horwitz_Defense_Other_variations
zzf1n,r1b3kr/ppqnn1pp/2pbN3/8/8/P1N2Q2/1PPB1PPP/R4R1K b - - 4 14,d7e5 f3f8,783,84,85,67,mate mateIn1 middlegame oneMove,https://lichess.org/noPV8Bsi/black#28,Kings_Pawn_Game Kings_Pawn_Game_Gunderam_Gambit
zzf33,8/4p1k1/3pP2p/5P2/p3K1P1/4P2R/3r4/8 w - - 2 40,g4g5 h6g5 h3h5 d2g2 e4f3 g2g1,2288,82,91,423,crushing defensiveMove endgame long master quietMove rookEndgame,https://lichess.org/CeBxdZRj#79,
zzf5n,3rkbnr/pp3ppp/8/q1p5/b4p2/1QP2N2/PP2PPPP/RN2KB1R w KQk - 3 9,b3c4 d8d1,756,77,100,101,mate mateIn1 oneMove opening,https://lichess.org/VhrI6j0I#17,Benoni_Defense Benoni_Defense_Old_Benoni
zzf5x,8/5pkp/8/p1pb2Q1/P7/4BqP1/5P2/4K3 b - - 2 43,g7f8 e3c5 f8e8 g5e7,1831,82,79,217,endgame mate mateIn2 short,https://lichess.org/YwIiCxQY/black#86,
zzf6v,q4k1r/p2b1ppp/5n2/4Q3/8/8/PPPP1bPP/RNB1K2R w KQ - 0 12,e1f2 f6g4 f2f1 g4e5,938,108,76,41,advantage fork middlegame short,https://lichess.org/v1gIUtVJ#23,Scandinavian_Defense Scandinavian_Defense_Modern_Variation
zzf8H,8/2Q3pk/1p1R2r1/4p3/4Prn1/2P3Pq/PP5P/4RNK1 w - - 1 30,d6g6 f4f1 e1f1 h3h2,1186,75,93,1051,mate mateIn2 middlegame short,https://lichess.org/YkBtPlB9#59,
zzfBf,5r1k/pp5p/2pPN1p1/2P1b3/8/5r1q/PPB1Q1P1/6RK w - - 0 28,g2h3 f3h3 e2h2 h3h2,868,90,83,30,mate mateIn2 middlegame short,https://lichess.org/tXTJNzW6#55,
zzfDS,6k1/1p1Q1pr1/p4R2/6p1/8/6PK/r6P/8 w - - 0 35,d7b7 g5g4 h3h4 a2h2,1662,75,92,1368,deflection endgame master mate mateIn2 queenRookEndgame short,https://lichess.org/pYar8BWI#69,
zzfHx,r2qk2r/b1pn1p2/p2p1n2/1p2P1B1/3P4/2Q5/PP3PPP/RN2K2R b KQkq - 0 15,d8e7 g5f6 d7f6 c3c6 f6d7 c6a8,2323,84,90,921,advantage fork long middlegame,https://lichess.org/2K7yM5eH/black#30,Russian_Game Russian_Game_Other_variations
zzfIm,r4r1k/pp4p1/3p3p/2pB1R2/5nP1/2P1q2P/PP4KN/R4Q2 w - - 3 21,g2h1 f8f5 g4f5 f4d5,1667,75,95,2965,advantage capturingDefender middlegame short,https://lichess.org/3FDKFKgN#41,
zzfN5,rn3rk1/pp3ppp/2p1pn2/2b4b/4PP1P/2N2NP1/PqPBQ1B1/1R2K2R b K - 1 13,b2c2 b1c1 c2b2 c3a4 b2a2 a4c5,1997,74,88,289,advantage fork long master middlegame,https://lichess.org/P1E8Tzkn/black#26,Bird_Opening Bird_Opening_Dutch_Variation
zzfPz,r1bq1r1k/ppp4P/3p4/2nPp3/2P1P1nN/2NBb3/PP2Q1P1/R3K2R b KQ - 4 16,f8f2 h4g6 h8g7 h7h8q d8h8 h1h8,2179,82,77,76,advancedPawn advantage exposedKing kingsideAttack long middlegame promotion,https://lichess.org/zzH3m4il/black#32,Kings_Indian_Defense Kings_Indian_Defense_Larsen_Variation
zzfRy,4r1k1/ppp2p1p/2n2B2/1Qb5/6b1/8/PPP1B1qP/R3K1NR w KQ - 0 17,b5c5 e8e2 g1e2 g2e2,1423,74,91,163,mate mateIn2 middlegame short,https://lichess.org/wzqscGUp#33,French_Defense French_Defense_Normal_Variation
zzfWG,2rr2k1/pq3pp1/1p2p2p/4n3/QP2N3/2PBR1P1/5P1P/3R2K1 b - - 0 24,d8d3 d1d3 e5d3 e4d6 b7c6 a4c6 c8c6 e3d3,2114,75,90,1166,advantage fork middlegame veryLong,https://lichess.org/BQYwO0qV/black#48,
zzfYS,B1b2rk1/2pp1ppp/pb6/1p2P3/5P1q/2P2Q2/PP4PP/RNB4K w - - 3 18,a8d5 h4e1 f3f1 e1f1,1009,94,54,33,fork mate mateIn2 middlegame short,https://lichess.org/EeNn3qkU#35,Ruy_Lopez Ruy_Lopez_Morphy_Defense
zzfbq,2r5/p2k1p1B/1qpnbBp1/3pN3/3P4/8/PP1Q1PPP/6K1 b - - 3 27,d7e8 h7g6 f7g6 d2h6 d6f7 h6g6,2285,80,95,143,advantage long middlegame sacrifice,https://lichess.org/7LQgkJt7/black#54,
zzfci,5rk1/1p2qp2/p5p1/2p1pQ2/P2p2P1/1P3P1n/2P3K1/R3R3 w - - 0 27,e1e5 e7h4 f5e4 f7f5 g4f5 h3f4,2376,107,80,24,crushing endgame long,https://lichess.org/j63TNAfh#53,
zzfdF,8/1p2bppk/p6p/3bPQ2/1P6/P4N1P/1B3qPK/8 b - - 1 31,g7g6 f3g5 e7g5 f5f2,1460,78,88,173,crushing discoveredAttack endgame short,https://lichess.org/0XLW0qJY/black#62,
zzfgl,r4rk1/ppp2p1R/2n3p1/3p4/3P4/6P1/PPPQBq2/2KR4 b - - 0 17,c6d4 d2h6 f2e3 h6e3,2100,76,91,650,crushing middlegame short,https://lichess.org/w66qMBWY/black#34,Petrovs_Defense Petrovs_Defense_Classical_Attack
zzfif,r4r1k/2R2p1p/2p1pq2/p4p2/1p6/6RP/6P1/4Q2K b - - 3 40,f8c8 c7f7 c8f8 f7f6,1845,80,71,55,advantage endgame short,https://lichess.org/CMH9UBOh/black#80,
zzfij,8/2p1kpRR/2p1Nq2/4p3/2P1P3/rK6/4Q3/2b5 w - - 1 42,b3c2 a3a2 c2c1 a2e2 g7f7 f6f7,1334,75,93,1381,advantage long middlegame skewer,https://lichess.org/wI8zEprX#83,
zzfjV,3r2k1/p5p1/1p1bp2p/2p5/P7/2P2N1P/1P3PP1/R5K1 w - - 0 23,a1d1 d6h2 g1h2 d8d1,950,92,88,39,advantage discoveredAttack endgame short,https://lichess.org/o0DsTqrp#45,
zzflL,2rq1rk1/1p3p2/p3bbpQ/3p1p1p/1P1N4/P7/1BP2PPP/4RRK1 b - - 5 20,f6g7 h6g7 g8g7 d4e6 g7g8 e6d8,1839,76,83,59,middlegame,https://lichess.org/kGnzyNfH/black#40,
zzfuD,r4r1k/pbq3p1/1p1b1n1p/2p2N2/1PPp3Q/8/PBB2PPP/3RR1K1 w - - 4 22,f5h6 g7h6 h4h6 h8g8,1600,348,100,7,defensiveMove equality middlegame short,https://lichess.org/6v9qhm5w#43,
zzfvm,5r1k/1pq3p1/p1p2r1p/3pQ3/3P1n2/2P3NP/PP3R1K/5R2 b - - 3 32,c7e5 d4e5 f6f7 e5e6 f7e7 f2f4 f8f4 f1f4,1606,75,98,1319,advantage middlegame veryLong,https://lichess.org/wxVeNv0A/black#64,
zzfwV,1rb1k2r/p4ppp/2p1p3/4P3/3q1P2/1P4P1/P1Q4P/RN2K2R w KQk - 0 16,c2c6 c8d7 c6d6 d4e3,2480,101,89,719,crushing defensiveMove middlegame short,https://lichess.org/C9yBtFr0#31,French_Defense French_Defense_La_Bourdonnais_Variation
zzfwZ,8/p1p4p/3k1pp1/3Pp3/2p1K1P1/P1P4P/1P3P2/8 w - - 1 32,h3h4 h7h5 f2f3 a7a6,2503,88,86,47,crushing defensiveMove endgame pawnEndgame short zugzwang,https://lichess.org/Z9gFfA7T#63,
zzg1p,2r3k1/1p3ppp/1p2pB2/1b1pP3/1b1P4/1P4Q1/P4PPP/5K2 w - - 5 21,f1g1 c8c1,734,124,67,113,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/AvcJnDOx#41,
zzg4T,6k1/ppQ2pp1/6qp/1P6/3r4/P2r3P/5PP1/2R2RK1 b - - 0 26,d3h3 c7c8 g8h7 c8h3,1128,166,54,11,crushing endgame fork short,https://lichess.org/fUTEuBkj/black#52,
zzg4d,r2q1rk1/p3ppbp/1p1n2p1/2ppN3/3PnP1Q/2P1P2R/PP1N2PP/R1B3K1 b - - 9 14,d6f5 h4h7,815,127,100,27,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/IeLf68kc/black#28,Queens_Pawn_Game Queens_Pawn_Game_Other_variations
zzg77,3r2k1/5p2/4pQ1p/p2p4/1p6/8/Pqr1RPPP/3R2K1 b - - 0 26,d8c8 f6b2 c2b2 e2b2,1486,75,92,496,advantage endgame short xRayAttack,https://lichess.org/QABsWwK7/black#52,
zzgHL,3rrk2/p1p1n2B/1pn2p2/8/6R1/B7/PPP3PP/4R2K w - - 0 25,e1e6 d8d1 e6e1 d1e1,1046,184,54,32,backRankMate mate mateIn2 middlegame short,https://lichess.org/wdFNdIdD#49,
zzgS0,8/3R4/5k2/1p4p1/8/5qp1/P1PK4/3R1B2 w - - 4 37,d2e1 f3f2,1415,87,86,267,endgame mate mateIn1 oneMove,https://lichess.org/IVisYYQl#73,
zzgSA,1r3rk1/pb1q3p/6pQ/4p3/1nBpP3/8/PPP3PP/R4RK1 b - - 2 21,g8h8 f1f8 b8f8 h6f8,1029,80,79,70,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/zpwR82fx/black#42,
zzgXU,1k1r1b1r/ppp1q3/1n1np2p/Q1NpNpp1/3P4/2P2PP1/PP5P/R3BBK1 b - - 2 19,h8h7 c5b7 b8b7 a5a6 b7a8 e5c6,1761,291,100,2,advantage attraction long middlegame queensideAttack sacrifice,https://lichess.org/MNPGbXvN/black#38,
zzgY8,r1b4r/1pq1npk1/p1n2Np1/4p2p/4BP1P/1NQ5/PPP3P1/2KR1R2 b - - 1 21,g7f6 f4e5 f6g7 e5e6,1275,75,85,238,crushing discoveredAttack doubleCheck master middlegame short,https://lichess.org/BaaijZQg/black#42,
zzgcV,1q3rk1/6pp/2pb4/1p1P4/8/P2P1pPP/2P4K/R1Q2R2 w - - 1 26,c1e1 f8e8 f1f3 e8e1,2463,91,62,28,advantage endgame short,https://lichess.org/f7AEAQyO#51,
zzgfw,6Q1/2kbq3/p7/5p1p/2Bp4/3P2PP/PP6/6K1 w - - 13 43,g8d5 e7e1 g1h2 d7c6 d5f7 c7b6,2325,85,90,359,crushing defensiveMove endgame long,https://lichess.org/x2Xh2LaK#85,
zzgi1,r1bq1rk1/p4ppp/3b4/1p1p4/2p1n3/2P1PN2/PPB2PPP/R1BQR1K1 w - - 2 15,d1d5 d6h2 f3h2 d8d5,985,89,92,1164,crushing discoveredAttack kingsideAttack middlegame short,https://lichess.org/UW1o7mok#29,Queens_Pawn_Game Queens_Pawn_Game_Colle_System
zzgm6,r2q3r/pppknBpp/1bnp4/4p3/4P1b1/1QPPBN1P/PP3PP1/RN2K2R b KQ - 0 9,g4f3 b3e6,935,77,98,262,mate mateIn1 middlegame oneMove,https://lichess.org/droqi348/black#18,Italian_Game Italian_Game_Classical_Variation
zzgop,r1bq1rk1/1p1nbppp/p3p3/n6B/3NNPQ1/4B3/1PP3PP/R4RK1 b - - 3 16,a5c4 d4e6 f7e6 g4e6 g8h8 e6c4,2009,76,83,89,advantage fork long middlegame,https://lichess.org/7aG70gcl/black#32,Sicilian_Defense Sicilian_Defense_Open
zzgpv,r2q1rk1/ppp2pp1/2b5/2bp2P1/4nP2/2PQPN2/PP1N2P1/2KR3R b - - 2 14,e4f2 d3h7,627,80,100,193,mate mateIn1 middlegame oneMove,https://lichess.org/heMTC2eM/black#28,Queens_Pawn_Game Queens_Pawn_Game_Levitsky_Attack
zzgrd,8/p6r/2KR4/1P3pk1/6p1/8/4N3/8 w - - 2 52,d6d7 h7d7 c6d7 f5f4,1503,136,79,28,crushing defensiveMove endgame short,https://lichess.org/a4toEmC8#103,
zzgyD,4r3/p1Rb1kp1/5p2/3q4/5P2/6Q1/P4RPP/6K1 w - - 8 32,g3g4 e8e1 f2f1 d5d4 g1h1 e1f1,1391,77,100,168,backRankMate deflection endgame long mate mateIn3,https://lichess.org/Wq8RbYAc#63,
zzh02,4r1k1/p4ppp/8/3p4/3P4/1P1q1P1P/6P1/R1Q3K1 w - - 0 25,a1a7 d3d4 g1h2 d4a7,1369,75,87,351,crushing endgame fork master short,https://lichess.org/qAoRa6KM#49,
zzh84,8/8/5Bp1/7p/5k1P/2P2P2/5K2/7r b - - 6 46,h1h3 f6g5 f4f5 f2g2 h3h1 g2h1,1947,75,98,134,crushing endgame long trappedPiece,https://lichess.org/BfyqtxJA/black#92,
